time,open,high,low,close,Volume,Volume MA
2020-02-29T17:00:00Z,1.31,1.31,1.19,1.21,147225.8013174,129052.9786333545
2020-03-01T17:00:00Z,1.22,1.31,1.21,1.27,85152.7260255,127786.022833458
2020-03-02T17:00:00Z,1.31,1.32,1.27,1.27,143630.57638075,126053.35454038752
2020-03-03T17:00:00Z,1.29,1.49,1.29,1.44,74599.41916701,120233.49714358253
2020-03-04T17:00:00Z,1.48,1.49,1.42,1.47,35104.29508716,116071.48420348405
2020-03-05T17:00:00Z,1.44,1.52,1.44,1.44,83423.6649365,106868.00705110755
2020-03-06T17:00:00Z,1.5,1.54,1.46,1.46,14778.15301729,93207.38213970204
2020-03-07T17:00:00Z,1.45,1.45,1.2,1.2,159610.56451169,96349.29837820455
2020-03-08T17:00:00Z,1.33,1.33,1.1,1.2,36927.30011854,92081.16719745004
2020-03-09T17:00:00Z,1.15,1.26,1.11,1.17,17776.60873074,77385.70451169203
2020-03-10T17:00:00Z,1.15,1.15,1.13,1.14,1408.31657574,71429.44339683154
2020-03-11T17:00:00Z,1.15,1.15,0.8,0.93,72116.22986604,70959.34460943154
2020-03-12T17:00:00Z,0.75,0.77,0.51,0.75,168390.59129894,75269.58890522104
2020-03-13T17:00:00Z,0.74,0.8,0.68,0.7,59244.55307085,74459.03262349004
2020-03-14T17:00:00Z,0.74,0.8,0.7,0.8,4792.72127418,71444.29015107955
2020-03-15T17:00:00Z,0.73,0.8,0.65,0.66,25740.12367511,69138.52725597905
2020-03-16T17:00:00Z,0.74,0.74,0.74,0.74,499.75675675,64674.94807769705
2020-03-17T17:00:00Z,0.72,0.74,0.71,0.71,8571.87187019,61681.255134125546
2020-03-18T17:00:00Z,0.75,0.8,0.75,0.8,11731.58478807,58438.64127079605
2020-03-19T17:00:00Z,0.8,0.89,0.8,0.89,17803.13947323,58426.39989708405
2020-03-20T17:00:00Z,0.84,0.84,0.8,0.8,10068.85068293,51568.55236536054
2020-03-21T17:00:00Z,0.8,0.8,0.79,0.79,419.73051381,47331.902589776044
2020-03-22T17:00:00Z,0.79,0.83,0.77,0.83,30990.91822175,41699.91968182604
2020-03-23T17:00:00Z,0.81,1.03,0.81,0.92,39090.27210614,39924.462328782545
2020-03-24T17:00:00Z,0.91,0.91,0.83,0.83,39594.89535077,40148.99234196304
2020-03-25T17:00:00Z,0.87,1.19,0.82,0.85,2111684.2265322,141562.02042174805
2020-03-26T17:00:00Z,0.84,0.89,0.83,0.83,64884.35366783,144067.33045427507
2020-03-27T17:00:00Z,0.83,0.83,0.76,0.81,38542.63883508,138013.93417044455
2020-03-28T17:00:00Z,0.82,0.87,0.8,0.81,11940.02686828,136764.57050793158
2020-03-29T17:00:00Z,0.8,0.83,0.77,0.83,25349.82646742,137143.23139476558
2020-03-30T17:00:00Z,0.83,0.84,0.8,0.83,44080.64869611,139276.84800078408
2020-03-31T17:00:00Z,0.84,0.85,0.81,0.81,8905.05146915,136116.28908093958
2020-04-01T17:00:00Z,0.8,0.85,0.8,0.83,32167.6090129,129305.13996663757
2020-04-02T17:00:00Z,0.85,0.86,0.83,0.85,27819.93482967,127733.90905457856
2020-04-03T17:00:00Z,0.85,0.86,0.85,0.86,3031.04446131,127645.82521393507
2020-04-04T17:00:00Z,0.84,0.86,0.84,0.84,2799.61789276,126498.79992481756
2020-04-05T17:00:00Z,0.85,0.89,0.85,0.88,18400.52056808,127393.83811538406
2020-04-06T17:00:00Z,0.9,0.92,0.83,0.89,48696.83526203,129400.08628497606
2020-04-07T17:00:00Z,0.89,0.94,0.88,0.92,52926.16832309,131459.81546172703
2020-04-08T17:00:00Z,0.92,0.99,0.9,0.98,53675.57205977,133253.43709105405
2020-04-09T17:00:00Z,0.96,0.98,0.85,0.86,51670.39115249,135333.51411453204
2020-04-10T17:00:00Z,0.89,0.93,0.86,0.93,18960.94046046,136260.57461186452
2020-04-11T17:00:00Z,0.86,0.95,0.86,0.95,22618.71938679,135841.96467011652
2020-04-12T17:00:00Z,0.9,0.9,0.86,0.86,50790.42723655,136426.97242663702
2020-04-13T17:00:00Z,0.87,0.9,0.85,0.89,15171.38698989,135205.79700859304
2020-04-14T17:00:00Z,0.9,0.9,0.87,0.87,10625.96796769,30152.884080367534
2020-04-15T17:00:00Z,0.9,0.9,0.9,0.9,6421.69999999,27229.75139697554
2020-04-16T17:00:00Z,0.87,0.87,0.87,0.87,38.84,25304.56145522154
2020-04-17T17:00:00Z,0.9,0.94,0.88,0.94,25228.57619158,25968.98892138654
2020-04-18T17:00:00Z,0.94,0.95,0.93,0.93,12311.39368544,25317.067282287542
2020-04-19T17:00:00Z,0.92,0.92,0.92,0.92,40.29256032,23115.04947549804
2020-04-20T17:00:00Z,0.91,0.91,0.88,0.88,1863.47868494,22762.970836287543
2020-04-21T17:00:00Z,0.9,0.93,0.9,0.93,699.85923052,21189.58334716854
2020-04-22T17:00:00Z,0.9,0.9,0.9,0.9,837.88888888,19840.48105012904
2020-04-23T17:00:00Z,0.93,0.97,0.9,0.9,25904.85119149,20984.17138663804
2020-04-24T17:00:00Z,0.93,0.94,0.93,0.94,11227.11720687,21405.54635234354
2020-04-25T17:00:00Z,0.93,0.97,0.92,0.97,15852.78639892,21278.15964388554
2020-04-26T17:00:00Z,0.92,1.02,0.92,0.98,99135.38176955,23800.08696926154
2020-04-27T17:00:00Z,1.01,1.19,1.01,1.09,92516.70851513,25779.61397886354
2020-04-28T17:00:00Z,1.14,1.17,1.05,1.09,357173.6741659,40954.51908417004
2020-04-29T17:00:00Z,1.13,1.18,1.02,1.03,249042.18478631,50823.10876586104
2020-04-30T17:00:00Z,1.07,1.11,1.03,1.07,102901.41738271,55020.13261197354
2020-05-01T17:00:00Z,1.07,1.5,1.07,1.16,805520.7432706,94165.23380616403
2020-05-02T17:00:00Z,1.2,1.24,1.13,1.14,377566.0847876,110504.01668371653
2020-05-03T17:00:00Z,1.15,1.17,1.05,1.13,228757.53007986,121183.32383821504
2020-05-04T17:00:00Z,1.15,1.16,1.1,1.13,89943.30084862,125149.19048226155
2020-05-05T17:00:00Z,1.13,1.17,1.13,1.14,74281.08824203,128542.15989436353
2020-05-06T17:00:00Z,1.15,1.17,1.12,1.14,124557.96785676,134768.11628720156
2020-05-07T17:00:00Z,1.14,1.35,1.08,1.3,411895.84686533,154101.47982088904
2020-05-08T17:00:00Z,1.3,1.32,1.2,1.26,127862.89610374,159879.05494180406
2020-05-09T17:00:00Z,1.24,1.24,1.08,1.1,415133.87278821,180633.73395319856
2020-05-10T17:00:00Z,1.09,1.14,1.06,1.11,72602.16859192,184170.66844854754
2020-05-11T17:00:00Z,1.11,1.2,1.05,1.14,252757.13353636,196773.53216383955
2020-05-12T17:00:00Z,1.14,1.17,1.11,1.13,19093.9808172,197686.33676025557
2020-05-13T17:00:00Z,1.15,1.16,1.12,1.12,20343.33458493,197408.26092992755
2020-05-14T17:00:00Z,1.15,1.23,1.12,1.15,222672.18051854,207980.51409551105
2020-05-15T17:00:00Z,1.16,1.17,1.12,1.15,132207.47031584,213798.24829135704
2020-05-16T17:00:00Z,1.16,1.16,1.13,1.16,12540.06477804,209468.48244178155
2020-05-17T17:00:00Z,1.16,1.17,1.14,1.16,55434.15429247,207614.35473064854
2020-05-18T17:00:00Z,1.15,1.18,1.14,1.18,38273.65918618,191669.35398166257
2020-05-19T17:00:00Z,1.15,1.23,1.15,1.15,110231.24952525,184728.80721860955
2020-05-20T17:00:00Z,1.15,1.24,1.15,1.16,245735.05478124,191870.48908853607
2020-05-21T17:00:00Z,1.17,1.24,1.16,1.24,215036.13558633,162346.25870432256
2020-05-22T17:00:00Z,1.23,1.3,1.2,1.24,154886.59003693,151212.28396678905
2020-05-23T17:00:00Z,1.25,1.29,1.19,1.19,103467.50126603,144947.78252609755
2020-05-24T17:00:00Z,1.2,1.28,1.19,1.28,75243.36913838,144212.78594058557
2020-05-25T17:00:00Z,1.27,1.38,1.21,1.29,315141.20474904,156255.79176593607
2020-05-26T17:00:00Z,1.28,1.34,1.27,1.28,81497.72701356,154102.77972377607
2020-05-27T17:00:00Z,1.3,1.33,1.25,1.3,31045.14106238,135060.24443362857
2020-05-28T17:00:00Z,1.28,1.29,1.24,1.28,83404.00385874,132837.29982137855
2020-05-29T17:00:00Z,1.28,1.29,1.25,1.25,48548.04844677,114508.00860430654
2020-05-30T17:00:00Z,1.27,1.29,1.25,1.26,50269.63684372,113391.38201689655
2020-05-31T17:00:00Z,1.29,1.3,1.25,1.28,46001.03430302,103053.57705522954
